,emoji_symbol,emoji_name,emoji_code,emoji_description
325,🚶‍♂️,‍♂️ Man Walking,"U+1F6B6, U+200D, U+2642, U+FE0F","The male version of the🚶Pedestrianemoji. Currently identical in appearance to the non-gendered base emoji.The Man Walking emoji is aZWJ sequencecombining🚶Person Walking,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms."
326,🚶‍♀️,‍♀️ Woman Walking,"U+1F6B6, U+200D, U+2640, U+FE0F","The female version of the🚶Pedestrianemoji.The Woman Walking emoji is aZWJ sequencecombining🚶Person Walking,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms."
327,🧍,Person Standing,U+1F9CD,"A person standing upright. May be used to represent human in a general sense, or shown in sequence to imply holding hands.Similar in appearance to🚶 Person Walking, but shown facing forwardand without any motion implied.Person Standingwas approved as part ofUnicode 12.0in 2019
under the name “Standing Person”
and added toEmoji 12.0in 2019."
328,🧍‍♂️,‍♂️ Man Standing,"U+1F9CD, U+200D, U+2642, U+FE0F","The Man Standing emoji is aZWJ sequencecombining🧍Person Standing,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms.Man Standingwas added toEmoji 12.0in 2019."
329,🧍‍♀️,‍♀️ Woman Standing,"U+1F9CD, U+200D, U+2640, U+FE0F","The Woman Standing emoji is aZWJ sequencecombining🧍Person Standing,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms.Woman Standingwas added toEmoji 12.0in 2019."
330,🧎,Person Kneeling,U+1F9CE,"A person kneeling on both knees. May be used to represent someone in prayer, or aperson resting on the floor.Person Kneelingwas approved as part ofUnicode 12.0in 2019
under the name “Kneeling Person”
and added toEmoji 12.0in 2019."
331,🧎‍♂️,‍♂️ Man Kneeling,"U+1F9CE, U+200D, U+2642, U+FE0F","The Man Kneeling emoji is aZWJ sequencecombining🧎Person Kneeling,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms.Man Kneelingwas added toEmoji 12.0in 2019."
332,🧎‍♀️,‍♀️ Woman Kneeling,"U+1F9CE, U+200D, U+2640, U+FE0F","The Woman Kneeling emoji is aZWJ sequencecombining🧎Person Kneeling,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms.Woman Kneelingwas added toEmoji 12.0in 2019."
333,🧑‍🦯,‍🦯 Person with White Cane,"U+1F9D1, U+200D, U+1F9AF","The Person with White Cane emoji is aZWJ sequencecombining🧑Person,‍Zero Width Joinerand🦯White Cane.
These display as a single emoji on supported platforms."
334,👨‍🦯,‍🦯 Man with White Cane,"U+1F468, U+200D, U+1F9AF","The Man with White Cane emoji is aZWJ sequencecombining👨Man,‍Zero Width Joinerand🦯White Cane.
These display as a single emoji on supported platforms.Man with White Canewas added toEmoji 12.0in 2019."
335,👩‍🦯,‍🦯 Woman with White Cane,"U+1F469, U+200D, U+1F9AF","The Woman with White Cane emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joinerand🦯White Cane.
These display as a single emoji on supported platforms.Woman with White Canewas added toEmoji 12.0in 2019."
336,🧑‍🦼,‍🦼 Person in Motorized Wheelchair,"U+1F9D1, U+200D, U+1F9BC","The Person in Motorized Wheelchair emoji is aZWJ sequencecombining🧑Person,‍Zero Width Joinerand🦼Motorized Wheelchair.
These display as a single emoji on supported platforms."
337,👨‍🦼,‍🦼 Man in Motorized Wheelchair,"U+1F468, U+200D, U+1F9BC","The Man in Motorized Wheelchair emoji is aZWJ sequencecombining👨Man,‍Zero Width Joinerand🦼Motorized Wheelchair.
These display as a single emoji on supported platforms.Man in Motorized Wheelchairwas added toEmoji 12.0in 2019."
338,👩‍🦼,‍🦼 Woman in Motorized Wheelchair,"U+1F469, U+200D, U+1F9BC","The Woman in Motorized Wheelchair emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joinerand🦼Motorized Wheelchair.
These display as a single emoji on supported platforms.Woman in Motorized Wheelchairwas added toEmoji 12.0in 2019."
339,🧑‍🦽,‍🦽 Person in Manual Wheelchair,"U+1F9D1, U+200D, U+1F9BD","The Person in Manual Wheelchair emoji is aZWJ sequencecombining🧑Person,‍Zero Width Joinerand🦽Manual Wheelchair.
These display as a single emoji on supported platforms."
340,👨‍🦽,‍🦽 Man in Manual Wheelchair,"U+1F468, U+200D, U+1F9BD","The Man in Manual Wheelchair emoji is aZWJ sequencecombining👨Man,‍Zero Width Joinerand🦽Manual Wheelchair.
These display as a single emoji on supported platforms.Man in Manual Wheelchairwas added toEmoji 12.0in 2019."
341,👩‍🦽,‍🦽 Woman in Manual Wheelchair,"U+1F469, U+200D, U+1F9BD","The Woman in Manual Wheelchair emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joinerand🦽Manual Wheelchair.
These display as a single emoji on supported platforms.Woman in Manual Wheelchairwas added toEmoji 12.0in 2019."
342,🏃,Person Running,U+1F3C3,"A person running, with a large stride and arms outstretched.May bewearing arunning shirt.This emoji does not specify a gender, but is shown as a man on most platforms. See also:🏃‍♀️Woman Runningor🏃‍♂️ Man Running.Person Runningwas approved as part ofUnicode 6.0in 2010
under the name “Runner”
and added toEmoji 1.0in 2015."
343,🏃‍♂️,‍♂️ Man Running,"U+1F3C3, U+200D, U+2642, U+FE0F","The male version of the🏃Runneremoji.Currently identical in appearance to the non-gendered base emoji.The Man Running emoji is aZWJ sequencecombining🏃Person Running,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms."
344,🏃‍♀️,‍♀️ Woman Running,"U+1F3C3, U+200D, U+2640, U+FE0F","The female version of the🏃Runneremoji.The Woman Running emoji is aZWJ sequencecombining🏃Person Running,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms."
345,💃,Woman Dancing,U+1F483,"A person dancing, mostcommonly displayed aswoman with one arm raisedwearing a red dress,while dancing the salsa or flamenco. Often used to represent a sense of fun or as a positive affirmation, e.g. ""great! 💃""This emoji did not originally specify a gender, but was canonically deemeda womanwhen the🕺 Man Dancingemoji wasapproved. Google previously displayed this emojias a man, thena gender-neutral blobcharacter (in keeping with guidelines at the time).Microsoft previously displayed this emojiasstick figure, and Samsung has displayed this over various releases as awhite boy,black boy, andwhite girl."
346,🕺,Man Dancing,U+1F57A,"A man dancing, added as a gender pair for the💃 Woman Dancing. Shown on most platforms in a 70s-era suit, and one hand in the air in a disco-dancing style."
347,🕴️,️ Person in Suit Levitating,"U+1F574, U+FE0F","A person wearing a suit, hovering above the ground with a shadow displayed beneath them. Generally shown wearing a fedora or similar style of hat.This character was originallyintroducedinto the Webdings font as an “exclamation mark in the style of therude boylogo found on records byThe Specials"".Thislevitatingman was known as Walt Jabsco."
348,👯,People with Bunny Ears,U+1F46F,"An iteration of thePlayboy Bunnyknown in Japan as aBunny Girl.Usually depicted as an attractive woman wearing bunny ears;a bunny girlcan also beseenin anime as a hybrid human/animal known asKemonomimi.Some versions of this emoji, such as Apple’s, displaytwo girls dancing, each wearing a leotard and bunny ears. Other interpretations show the face of one woman wearing bunny ears.The two-person version of this emoji is often used as a display of friendship, fun, or ""let's party"".People with Bunny Earswas approved as part ofUnicode 6.0in 2010
under the name “Woman with Bunny Ears”
and added toEmoji 1.0in 2015."
349,👯‍♂️,‍♂️ Men with Bunny Ears,"U+1F46F, U+200D, U+2642, U+FE0F","The male version of the👯Woman With Bunny Earsemoji.The Men with Bunny Ears emoji is aZWJ sequencecombining👯People with Bunny Ears,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms."
350,👯‍♀️,‍♀️ Women with Bunny Ears,"U+1F46F, U+200D, U+2640, U+FE0F","A female version of the👯People With Bunny Earsemoji.The Women with Bunny Ears emoji is aZWJ sequencecombining👯People with Bunny Ears,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms."
351,🧖,Person in Steamy Room,U+1F9D6,"A person in a sauna, holding a ladle for pouring water on hot stones, which creates the steamy environment.Popular in Finland, where people sauna in the nude.Person in Steamy Roomwas approved as part ofUnicode 10.0in 2017
and added toEmoji 5.0in 2017."
352,🧖‍♂️,‍♂️ Man in Steamy Room,"U+1F9D6, U+200D, U+2642, U+FE0F","The Man in Steamy Room emoji is aZWJ sequencecombining🧖Person in Steamy Room,‍Zero Width Joinerand♂Male Sign.
These display as a single emoji on supported platforms."
353,🧖‍♀️,‍♀️ Woman in Steamy Room,"U+1F9D6, U+200D, U+2640, U+FE0F","The Woman in Steamy Room emoji is aZWJ sequencecombining🧖Person in Steamy Room,‍Zero Width Joinerand♀Female Sign.
These display as a single emoji on supported platforms."
354,🧘,Person in Lotus Position,U+1F9D8,"Person in Lotus Positionwas approved as part ofUnicode 10.0in 2017
and added toEmoji 5.0in 2017."
355,🧑‍🤝‍🧑,‍🤝‍🧑 People Holding Hands,"U+1F9D1, U+200D, U+1F91D, U+200D, U+1F9D1","Two people holding hands, most likely due to being in a relationship.No gender is specified for these two people, meaning they are likely to be shown with a gender inclusive design.The People Holding Hands emoji is aZWJ sequencecombining🧑Person,‍Zero Width Joiner,🤝Handshake,‍Zero Width Joinerand🧑Person.
These display as a single emoji on supported platforms.People Holding Handswas added toEmoji 12.0in 2019."
356,👭,Women Holding Hands,U+1F46D,"Twowomenholding hands, most likely due to being in a relationship."
357,👫,Woman and Man Holding Hands,U+1F46B,"A woman and manholding hands, most likely due to being in a relationship."
358,👬,Men Holding Hands,U+1F46C,"Two menholding hands, most likely due to being in a relationship."
359,💏,Kiss,U+1F48F,"A kissing gesture, shownwith a pink love heart floating in the air between two people. Previously shownas with the same appearance as👩‍❤️‍💋‍👨Kiss: Woman, Manonmost platforms, but now displaystwo people with an ambiguous genderappearance.Kisswas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
360,👩‍❤️‍💋‍👨,"‍❤️‍💋‍👨 Kiss: Woman, Man","U+1F469, U+200D, U+2764, U+FE0F, U+200D, U+1F48B, U+200D, U+1F468","The Kiss: Woman, Man emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joiner,💋Kiss Mark,‍Zero Width Joinerand👨Man.
These display as a single emoji on supported platforms."
361,👨‍❤️‍💋‍👨,"‍❤️‍💋‍👨 Kiss: Man, Man","U+1F468, U+200D, U+2764, U+FE0F, U+200D, U+1F48B, U+200D, U+1F468","Two men displayed kissing, or gesturing a kiss toward each other.At small sizes this may be difficult to discern from thetwo women kissing.The Kiss: Man, Man emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joiner,💋Kiss Mark,‍Zero Width Joinerand👨Man.
These display as a single emoji on supported platforms."
362,👩‍❤️‍💋‍👩,"‍❤️‍💋‍👩 Kiss: Woman, Woman","U+1F469, U+200D, U+2764, U+FE0F, U+200D, U+1F48B, U+200D, U+1F469","Two women displayed kissing, or gesturing a kiss toward each other. At small sizes this may be difficult to discern fromtwo men kissing.The Kiss: Woman, Woman emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joiner,💋Kiss Mark,‍Zero Width Joinerand👩Woman.
These display as a single emoji on supported platforms."
363,💑,Couple with Heart,U+1F491,"A couple standing next to each other, smiling, with a pink love heart floating in the air between them. Previously shownas with the same appearance as👩‍❤️‍👨 Couple With Heart: Woman, Manonmost platforms, but now displaystwo people with an ambiguous genderappearance.Couple with Heartwas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
364,👩‍❤️‍👨,"‍❤️‍👨 Couple with Heart: Woman, Man","U+1F469, U+200D, U+2764, U+FE0F, U+200D, U+1F468","The Couple with Heart: Woman, Man emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joinerand👨Man.
These display as a single emoji on supported platforms."
365,👨‍❤️‍👨,"‍❤️‍👨 Couple with Heart: Man, Man","U+1F468, U+200D, U+2764, U+FE0F, U+200D, U+1F468","Two men standing next to each other, smiling, with a pink love heart floating in the air between them.The Couple with Heart: Man, Man emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joinerand👨Man.
These display as a single emoji on supported platforms."
366,👩‍❤️‍👩,"‍❤️‍👩 Couple with Heart: Woman, Woman","U+1F469, U+200D, U+2764, U+FE0F, U+200D, U+1F469","Two womenstanding next to each other, smiling, with a pink love heart floating in the air between them.The Couple with Heart: Woman, Woman emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,❤Red Heart,‍Zero Width Joinerand👩Woman.
These display as a single emoji on supported platforms."
367,👪,Family,U+1F46A,"A family unit shown with twoadultsand onechild. Previously displayed with the same design as👨‍👩‍👦 Family: Man, Woman, Boyon most platforms, but now has its own gender inclusive appearance.Familywas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
368,👨‍👩‍👦,"‍👩‍👦 Family: Man, Woman, Boy","U+1F468, U+200D, U+1F469, U+200D, U+1F466","The Family: Man, Woman, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👩Woman,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
369,👨‍👩‍👧,"‍👩‍👧 Family: Man, Woman, Girl","U+1F468, U+200D, U+1F469, U+200D, U+1F467","A family witha father, mother,and one daughter.The Family: Man, Woman, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👩Woman,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
370,👨‍👩‍👧‍👦,"‍👩‍👧‍👦 Family: Man, Woman, Girl, Boy","U+1F468, U+200D, U+1F469, U+200D, U+1F467, U+200D, U+1F466","A family with a father, mother, daughter, and son.The Family: Man, Woman, Girl, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
371,👨‍👩‍👦‍👦,"‍👩‍👦‍👦 Family: Man, Woman, Boy, Boy","U+1F468, U+200D, U+1F469, U+200D, U+1F466, U+200D, U+1F466","A family with a father, mother, and two sons.The Family: Man, Woman, Boy, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👦Boy,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
372,👨‍👩‍👧‍👧,"‍👩‍👧‍👧 Family: Man, Woman, Girl, Girl","U+1F468, U+200D, U+1F469, U+200D, U+1F467, U+200D, U+1F467","A family with a father, mother, and two daughters.The Family: Man, Woman, Girl, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
373,👨‍👨‍👦,"‍👨‍👦 Family: Man, Man, Boy","U+1F468, U+200D, U+1F468, U+200D, U+1F466","A family withtwo fathers,and one son.The Family: Man, Man, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👨Man,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
374,👨‍👨‍👧,"‍👨‍👧 Family: Man, Man, Girl","U+1F468, U+200D, U+1F468, U+200D, U+1F467","A family with two fathers,and one daughter.The Family: Man, Man, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👨Man,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
375,👨‍👨‍👧‍👦,"‍👨‍👧‍👦 Family: Man, Man, Girl, Boy","U+1F468, U+200D, U+1F468, U+200D, U+1F467, U+200D, U+1F466","A family with two fathers, one daughter, and one son.The Family: Man, Man, Girl, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👨Man,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
376,👨‍👨‍👦‍👦,"‍👨‍👦‍👦 Family: Man, Man, Boy, Boy","U+1F468, U+200D, U+1F468, U+200D, U+1F466, U+200D, U+1F466","A family withtwo fathers,and twosons.The Family: Man, Man, Boy, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👨Man,‍Zero Width Joiner,👦Boy,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
377,👨‍👨‍👧‍👧,"‍👨‍👧‍👧 Family: Man, Man, Girl, Girl","U+1F468, U+200D, U+1F468, U+200D, U+1F467, U+200D, U+1F467","A family withtwo fathers,and two daughters.The Family: Man, Man, Girl, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👨Man,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
378,👩‍👩‍👦,"‍👩‍👦 Family: Woman, Woman, Boy","U+1F469, U+200D, U+1F469, U+200D, U+1F466","A family with twomothers, and one son.The Family: Woman, Woman, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👩Woman,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
379,👩‍👩‍👧,"‍👩‍👧 Family: Woman, Woman, Girl","U+1F469, U+200D, U+1F469, U+200D, U+1F467","A family with two mothers,and one daughter.The Family: Woman, Woman, Girl emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👩Woman,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
380,👩‍👩‍👧‍👦,"‍👩‍👧‍👦 Family: Woman, Woman, Girl, Boy","U+1F469, U+200D, U+1F469, U+200D, U+1F467, U+200D, U+1F466","A family withtwomothers, onedaughter, and one son.The Family: Woman, Woman, Girl, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
381,👩‍👩‍👦‍👦,"‍👩‍👦‍👦 Family: Woman, Woman, Boy, Boy","U+1F469, U+200D, U+1F469, U+200D, U+1F466, U+200D, U+1F466","A family withtwomothers,and two sons.The Family: Woman, Woman, Boy, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👦Boy,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
382,👩‍👩‍👧‍👧,"‍👩‍👧‍👧 Family: Woman, Woman, Girl, Girl","U+1F469, U+200D, U+1F469, U+200D, U+1F467, U+200D, U+1F467","A family withtwomothers,and twodaughters.The Family: Woman, Woman, Girl, Girl emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
383,👨‍👦,"‍👦 Family: Man, Boy","U+1F468, U+200D, U+1F466","The Family: Man, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
384,👨‍👦‍👦,"‍👦‍👦 Family: Man, Boy, Boy","U+1F468, U+200D, U+1F466, U+200D, U+1F466","The Family: Man, Boy, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👦Boy,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
385,👨‍👧,"‍👧 Family: Man, Girl","U+1F468, U+200D, U+1F467","The Family: Man, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
386,👨‍👧‍👦,"‍👧‍👦 Family: Man, Girl, Boy","U+1F468, U+200D, U+1F467, U+200D, U+1F466","The Family: Man, Girl, Boy emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
387,👨‍👧‍👧,"‍👧‍👧 Family: Man, Girl, Girl","U+1F468, U+200D, U+1F467, U+200D, U+1F467","The Family: Man, Girl, Girl emoji is aZWJ sequencecombining👨Man,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
388,👩‍👦,"‍👦 Family: Woman, Boy","U+1F469, U+200D, U+1F466","The Family: Woman, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
389,👩‍👦‍👦,"‍👦‍👦 Family: Woman, Boy, Boy","U+1F469, U+200D, U+1F466, U+200D, U+1F466","The Family: Woman, Boy, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👦Boy,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
390,👩‍👧,"‍👧 Family: Woman, Girl","U+1F469, U+200D, U+1F467","The Family: Woman, Girl emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
391,👩‍👧‍👦,"‍👧‍👦 Family: Woman, Girl, Boy","U+1F469, U+200D, U+1F467, U+200D, U+1F466","The Family: Woman, Girl, Boy emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👦Boy.
These display as a single emoji on supported platforms."
392,👩‍👧‍👧,"‍👧‍👧 Family: Woman, Girl, Girl","U+1F469, U+200D, U+1F467, U+200D, U+1F467","The Family: Woman, Girl, Girl emoji is aZWJ sequencecombining👩Woman,‍Zero Width Joiner,👧Girl,‍Zero Width Joinerand👧Girl.
These display as a single emoji on supported platforms."
393,🗣️,️ Speaking Head,"U+1F5E3, U+FE0F","The silhouette of a person speaking. Faces left-to-right, with lines demonstrating speech being expelled. Sometimes used in the context of shoutingormansplaining."
394,👤,Bust in Silhouette,U+1F464,Generic profile of one person. Often used in interface design to represent a user.
395,👥,Busts in Silhouette,U+1F465,Generic profile of two people. Often used in interface design to represent users.
396,👣,Footprints,U+1F463,"Two human footsteps, showing the outline of both feet, including all five toes."
397,🧳,Luggage,U+1F9F3,"A suitcase or bag, as used for traveling. Most platforms depict gray or blue rolling luggage with an extended handle. Commonly used for various content concerning traveling or taking trips, whether for business or leisure.Apple’s design features an old-fashioned, leather, trunk-styled case with graphicluggage labels/stickers, not to be confused with💼Briefcaseor👜Handbag. Google and Facebook also include such stickers.May be stored in a🛅 Coin Lockeror inspected at🛃Customs."
398,🌂,Closed Umbrella,U+1F302,"An umbrella that is closed, likely as a result ofcollapsingit prior to going indoors.Shows as pink on Apple devices, blueon Android, and purpleon Twitter."
399,☂️,️ Umbrella,"U+2602, U+FE0F","An opened, dry umbrella. Generally depicted with purple fabric and a hooked handle.Commonly used for various content concerning rainy weather. Occasionally used as a purple accent color.Not to be confused with☔ Umbrella With Rain Dropsor🌂 Closed Umbrella, though their applications may overlap.WhatsApp’s umbrella is green. Google’s umbrella waspreviouslyblue,MicrosoftandSamsung’sonce red."
400,🎃,Jack-O-Lantern,U+1F383,An orangepumpkincarved into the shape of a face andcommonly known asaJack-o’-lantern. See alsoHalloween.
401,🧵,Thread,U+1F9F5,"A spool of thread, as used for sewing. Thread color varies across platforms, though often depicted in red or blue and on a wooden spool. Sometimes shown with an end unraveling.Commonly used for various content concerning sewing, knitting, arts and crafts, clothing and fashion, and metaphoricalthreads(e.g., a discussion thread online).WhatsApp’s design includes a needle."
402,🧶,Yarn,U+1F9F6,"A ball of yarn, as used to knit ascarf. Color varies across platforms, but often depicted in green, blue, or magenta and shown with an end unraveling. Sometimes depicted with a pair of knitting needles stuck in the ball.Commonly used for various content concerning knitting and needlework (e.g.,sewing,crocheting), clothing and fashion, arts and crafts, cold weather, and cats."
403,👓,Glasses,U+1F453,"Prescription glasses, shown with a variety of frames, depending on platform."
404,🕶️,️ Sunglasses,"U+1F576, U+FE0F","Sunglasses that can be worn outside for protection from the sun. Often association with connotations of being ""cool"", or leisurely in sunny places.This emoji shows only the sunglasses, which differs from thesmiling face with sunglassesemoji."
405,🥽,Goggles,U+1F97D,"Goggles of a type that are not specified, but implied to be safety goggles instead of swimming goggles."
406,🥼,Lab Coat,U+1F97C,A white coat worn in a science laboratory.
407,🦺,Safety Vest,U+1F9BA,"A brightly colored vest generally worn on construction sites or areas requiring high visibility.Safety Vestwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
408,👔,Necktie,U+1F454,A necktie commonly wornat work or formal occasions.Sometimes displayed asashirt and tie. Colors and patterns vary by platform.
409,👕,T-Shirt,U+1F455,"A plain t-shirt, that can be worn by men or women. Displayed as a blue polo shirt on iOS, Facebook and Firefox OS. A white t-shirt on Android and Windows, and yellow or green on other platforms.The Facebook version of this emoji has a capital H on the front."
410,👖,Jeans,U+1F456,"Denim jeans, worn by menor women. A popular form of casualtrousers worn by therunner emojiin Apple's emoji artwork"
411,🧣,Scarf,U+1F9E3,Scarf
412,🧤,Gloves,U+1F9E4,Gloves
413,🧥,Coat,U+1F9E5,"A winter jacket, shown in a variety of colors and styles."
414,🧦,Socks,U+1F9E6,Socks
415,👗,Dress,U+1F457,"A pretty dress, suitable for a ball, party or other similar occasion."
416,👘,Kimono,U+1F458,A traditional Japanese robe that can be worn by women or men.
417,🥻,Sari,U+1F97B,"Sariwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
418,🩱,One-Piece Swimsuit,U+1FA71,"One-Piece Swimsuitwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
419,🩲,Briefs,U+1FA72,"Underwear or swim briefs (aka ""Speedos""), in a style most often associated with men.Briefswas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
420,🩳,Shorts,U+1FA73,"Shortswas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
421,👙,Bikini,U+1F459,"A two-piece bikini, worn at the beach, pool, or on vacation at atropical destination.Shown in a variety of colors and patterns across different platforms."
422,👚,Woman’s Clothes,U+1F45A,"A blouse worn by women in a neat-casual setting.Shown in pink on Apple devices, yellow on Android, and purple on Twitter.Similar to the top worn by theInformation Desk Person Emoji."
423,👛,Purse,U+1F45B,"A small pouch with a clasp, generally used to hold coins. Sometimes called a “coin purse.”Color varies by platform, though most platforms have a pink, blue, or turquoise bag with a silver or gold (gray or yellow) clasp.Not to be confused with👝 Clutch Bag, which can look like a coin person on some platforms, due to lack of relative scale in emoji designs."
424,👜,Handbag,U+1F45C,"A bag or purse, used to carry personal items, often doubling as a fashion accessory.The design of this emoji varies, with most platforms opting for leather-looking styles in brown or orange. Samsung’s designused to be pink, but is now light brown. Twitter’s purple design stands out among the other platforms.Not to be confused with the smaller and handleless pouch emoji sometimes referred to as👝 Clutch Bag."
425,👝,Clutch Bag,U+1F45D,"A small pouch, somewhere between the size of ahandbag, and apurse."
426,🎒,Backpack,U+1F392,"A school bag Emoji (also called a satchel) used by children attending school to carry books, lunch, and other personal belongings."
427,👞,Man’s Shoe,U+1F45E,"A shoe worn by a man, to work, dinner, or another occasion that requires footwear. Unlike womens shoes, this shoe is likely to be comfortable."
428,👟,Running Shoe,U+1F45F,"A sneaker – a comfortable shoe used in sports such astennisorgolf, or forfashion purposes."
429,🥾,Hiking Boot,U+1F97E,A style of boot commonly worn on long walks or for hiking. Generally distinct from other footwear-related emojis by the considerable grip on the sole of the shoe.
430,🥿,Flat Shoe,U+1F97F,"A flat shoe, in a style generally worn by women. More practical than ahigh-heeled shoe."
431,👠,High-Heeled Shoe,U+1F460,"A high-heeled shoe, primarily worn bywomen. Generally found in a context which requires formal dress, suchassocial occasions, or some work places.Displayed in red on most platforms, though the color may vary."
432,👡,Woman’s Sandal,U+1F461,"A sandal worn by a woman in summer, spring, or other weather that suits open-toed footwear. Has a heel at the back providing additional height to the wearer."
433,🩰,Ballet Shoes,U+1FA70,"A pointe shoeworn by ballet dancerswhen performingpointe work.Ballet Shoeswas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
434,👢,Woman’s Boot,U+1F462,"A tall bootgenerally featuring a slight heel, shown in brown or red on most platforms.Some platforms display this emoji with two boots, while most display a single boot."
